id;component;title;severity;status;summary;urgency;target_sprint;url_tracker
354137;maintenancemenu;[Maintenance Menu][HDD][PVR] Menu Disque Dur, le choix formatage de la partion entraine l'impossibbilté de faire un enregistrement;5 - Major;Resolved;[Maintenance Menu][HDD][PVR] Menu Disque Dur, le choix formatage de la partion entraine l'impossibbilté de faire un enregistrement;U2-Medium;Phoenix R1S28;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=354137
360114;pvr;[EPG] [PVR] - Perte des images covers après lancement d'un enregistrement depuis l'epg et depuis un enregistrement instantané;5 - Major;Resolved;[EPG] [PVR] - Perte des images covers après lancement d'un enregistrement depuis l'epg et depuis un enregistrement instantané;U1-Urgent;Phoenix R1S28;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=360114
384687;autodiag;[Autodiag] Des écrans d'autodiag de type S04 sont remontées lors d'une coupure de flux au lieu de l'autodiag L11;5 - Major;Integrated;[Autodiag] Des écrans d'autodiag de type S04 sont remontées lors d'une coupure de flux au lieu de l'autodiag L11;U1-Urgent;Phoenix R1S28;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=384687
386593;pvr;[PVR] - Perte du picto CSA lors d'enregistrement d'un épisode de série et code confidentiel non demandé;5 - Major;Integrated;[PVR] - Perte du picto CSA lors d'enregistrement d'un épisode de série et code confidentiel non demandé;U1-Urgent;Phoenix R1S28;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=386593
